domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D16,MART,MART.AOS.S2,WGS84,S2,2018,NEON_D16_WREF_DP3_583000_5071000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2017,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2017,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2017,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2017,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2018,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2018,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2018,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2018,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D06,MCDI,MCDI.AOS.S2,WGS84,S2,2017,NEON_D06_MCDI_DP3_721000_4313000_reflectance.h5
D06,MCDI,MCDI.AOS.reach,WGS84,reach,2017,NEON_D06_MCDI_DP3_721000_4313000_reflectance.h5
D02,POSE,POSE.AOS.S2,WGS84,S2,2017,NEON_D02_SCBI_DP3_747000_4309000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D10_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D10_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D10_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2017,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2017,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2017,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2017,NEON_D10_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2017,NEON_D10_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2017,NEON_D10_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2017,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2017,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2017,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2017,NEON_D10_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2017,NEON_D10_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2017,NEON_D10_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2017,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2017,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2017,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2017,NEON_D10_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2017,NEON_D10_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2017,NEON_D10_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
