domanID,siteID,aop_site,loctype,flightline,spectraID,sensor_zenith,solar_zenith,clouds
D03,SUGG,OSBS,buoy,20170927_171031,SUGG-buoy-20170927_171031,5.275742530822754,31.345003366969163,Red (> 50%) cloud cover
D03,SUGG,OSBS,inle,20170927_171031,SUGG-inle-20170927_171031,10.729028701782228,31.345003366969163,Red (> 50%) cloud cover
D03,SUGG,OSBS,inle,20170927_171735,SUGG-inle-20170927_171735,14.308011054992676,31.315631599594,Red (> 50%) cloud cover
D03,SUGG,OSBS,outl,20170927_171735,SUGG-outl-20170927_171735,5.151235103607178,31.315631599594,Red (> 50%) cloud cover
D03,SUGG,OSBS,buoy,20180915_155817,SUGG-buoy-20180915_155817,5.103891372680664,33.01394913497364,Red (> 50%) cloud cover
D03,SUGG,OSBS,inle,20180915_155817,SUGG-inle-20180915_155817,10.484949111938477,33.01394913497364,Red (> 50%) cloud cover
D03,SUGG,OSBS,buoy,20181005_134947,SUGG-buoy-20181005_134947,6.397000312805176,59.61006088513472,Green (<10%) cloud cover
D03,SUGG,OSBS,outl,20181005_134947,SUGG-outl-20181005_134947,9.334290504455566,59.61006088513472,Green (<10%) cloud cover
D03,SUGG,OSBS,buoy,20181012_174055,SUGG-buoy-20181012_174055,5.210586071014404,37.739569029938714,Green (<10%) cloud cover
D03,SUGG,OSBS,inle,20181012_174055,SUGG-inle-20181012_174055,11.013489723205566,37.739569029938714,Green (<10%) cloud cover
D03,SUGG,OSBS,inle,20181012_174934,SUGG-inle-20181012_174934,13.423319816589355,38.18422896733305,Green (<10%) cloud cover
D03,SUGG,OSBS,outl,20181012_174934,SUGG-outl-20181012_174934,1.9097920656204224,38.18422896733305,Green (<10%) cloud cover
D08,TOMB,LENO,buoy,20170517_190309,TOMB-buoy-20170517_190309,0.7621936202049255,20.92546987184012,Red (> 50%) cloud cover
D08,TOMB,LENO,buoy,20180428_152550,TOMB-buoy-20180428_152550,2.10892653465271,36.70070989292814,Green (<10%) cloud cover
D08,TOMB,LENO,buoy,20190506_181146,TOMB-buoy-20190506_181146,3.2325494289398193,16.199009700280676,Red (> 50%) cloud cover
D08,TOMB,LENO,buoy,20190506_185225,TOMB-buoy-20190506_185225,0.49924492835998535,21.117113432758185,Red (> 50%) cloud cover
D18,TOOK,TOOL,buoy,20170714_201551,TOOK-buoy-20170714_201551,13.614879608154297,49.86410964688748,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,buoy,20170714_202447,TOOK-buoy-20170714_202447,5.245848178863525,49.428339129900486,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,reac,20170714_202447,TOOK-reac-20170714_202447,4.03802490234375,49.428339129900486,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,outl,20170714_203317,TOOK-outl-20170714_203317,8.557273864746094,49.0358311800617,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,inle,20170714_203317,TOOK-inle-20170714_203317,9.98264503479004,49.0358311800617,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,reac,20170714_203317,TOOK-reac-20170714_203317,15.70216464996338,49.0358311800617,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,outl,20170714_204140,TOOK-outl-20170714_204140,10.276721954345703,48.68873243013428,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,inle,20170714_204140,TOOK-inle-20170714_204140,8.766003608703613,48.68873243013428,Yellow (10 - 50%) cloud cover
D18,TOOK,TOOL,buoy,20180707_200701,TOOK-buoy-20180707_200701,13.067619323730469,49.20506795442109,Red (> 50%) cloud cover
D18,TOOK,TOOL,buoy,20180707_201743,TOOK-buoy-20180707_201743,6.755097389221191,48.664621110200166,Red (> 50%) cloud cover
D18,TOOK,TOOL,reac,20180707_201743,TOOK-reac-20180707_201743,6.507873058319092,48.664621110200166,Red (> 50%) cloud cover
D18,TOOK,TOOL,outl,20180707_204103,TOOK-outl-20180707_204103,11.5092134475708,47.64760226879388,Red (> 50%) cloud cover
D18,TOOK,TOOL,inle,20180707_204103,TOOK-inle-20180707_204103,9.565293312072754,47.64760226879388,Red (> 50%) cloud cover
D18,TOOK,TOOL,outl,20190711_203112,TOOK-outl-20190711_203112,11.482330322265623,48.62500303485555,Red (> 50%) cloud cover
D18,TOOK,TOOL,inle,20190711_203112,TOOK-inle-20190711_203112,8.552689552307129,48.62500303485555,Red (> 50%) cloud cover
D18,TOOK,TOOL,outl,20190711_204033,TOOK-outl-20190711_204033,8.524478912353516,48.24743151798573,Red (> 50%) cloud cover
D18,TOOK,TOOL,inle,20190711_204033,TOOK-inle-20190711_204033,10.359495162963867,48.24743151798573,Red (> 50%) cloud cover
D18,TOOK,TOOL,buoy,20190711_204910,TOOK-buoy-20190711_204910,6.662822723388672,47.910146127591986,Red (> 50%) cloud cover
D18,TOOK,TOOL,reac,20190711_204910,TOOK-reac-20190711_204910,2.5778398513793945,47.910146127591986,Red (> 50%) cloud cover
D18,TOOK,TOOL,buoy,20190711_205747,TOOK-buoy-20190711_205747,14.732775688171388,47.632575317370595,Red (> 50%) cloud cover
