domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,sensor_zenith,solar_zenith,clouds,flightline,aop_site,crs,flightdate,radfile,gpstime_hrs,rad_flightline
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,21392268,15953,636,744107.5,3452888.5,11.589470863342283,29.27584745155672,Yellow (10 - 50%) cloud cover,20170917_174613,JERC,EPSG:32616,2017-09-17,NEON_D03_JERC_DP1_20170917_L006-1_radiance,17.8386287689209,L006-1
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,21512435,16151,635,744107.5,3452888.5,13.348827362060549,30.401795250022342,Green (<10%) cloud cover,20170918_165616,JERC,EPSG:32616,2017-09-18,NEON_D03_JERC_DP1_20170918_L006-1_radiance,17.003265380859375,L006-1
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,17316375,16019,917,744107.5,3452888.5,11.032673835754396,35.5851001628766,Green (<10%) cloud cover,20180916_155910,JERC,EPSG:32616,2018-09-16,NEON_D03_JERC_DP1_20180916_L007-1_radiance,16.017595291137695,L007-1
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,18385747,15919,457,744107.5,3452888.5,12.857888221740724,40.477486647618974,Green (<10%) cloud cover,20180919_153133,JERC,EPSG:32616,2018-09-19,NEON_D03_JERC_DP1_20180919_L006-1_radiance,15.559823036193848,L006-1
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,20671916,16239,942,744107.5,3452888.5,10.642117500305176,24.61921396459268,Red (> 50%) cloud cover,20190830_182242,JERC,EPSG:32616,2019-08-30,NEON_D03_JERC_DP1_20190830_L007-1_radiance,18.36438751220703,L007-1
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,18152250,16839,886,744107.5,3452888.5,10.302536964416504,47.11663759703696,Green (<10%) cloud cover,20190906_144357,JERC,EPSG:32616,2019-09-06,NEON_D03_JERC_DP1_20190906_L007-1_radiance,14.782732009887695,L007-1
D05,LIRO,LIRO.AOS.outlet,WGS84,outlet,2464568,2568,248,290621.5,5097670.5,11.410783767700195,49.50664176512647,Green (<10%) cloud cover,20170911_195715,LIRO,EPSG:32616,2017-09-11,NEON_D05_LIRO_DP1_20170911_L005-2_radiance,20.01608085632324,L005-2
D05,LIRO,LIRO.AOS.buoy.c0,WGS84,buoy.c0,2706426,2820,186,290559.5,5097418.5,13.89523983001709,49.50664176512647,Green (<10%) cloud cover,20170911_195715,LIRO,EPSG:32616,2017-09-11,NEON_D05_LIRO_DP1_20170911_L005-2_radiance,20.017559051513672,L005-2
D05,LIRO,LIRO.AOS.buoy.c1,WGS84,buoy.c1,2706426,2820,186,290559.5,5097418.5,13.89523983001709,49.50664176512647,Green (<10%) cloud cover,20170911_195715,LIRO,EPSG:32616,2017-09-11,NEON_D05_LIRO_DP1_20170911_L005-2_radiance,20.017559051513672,L005-2
D05,LIRO,LIRO.AOS.buoy.c2,WGS84,buoy.c2,2706426,2820,186,290559.5,5097418.5,13.89523983001709,49.50664176512647,Green (<10%) cloud cover,20170911_195715,LIRO,EPSG:32616,2017-09-11,NEON_D05_LIRO_DP1_20170911_L005-2_radiance,20.017559051513672,L005-2
