domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,radfile,aop_site,crs,gpstime_hrs
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,7212719,516,9414,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200806_L001-1_radiance,UNDE,EPSG:32616,15.535438537597656
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,3390601,228,9663,309132.5,5120578.5,NEON_D05_UNDE_DP1_20200811_L001-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,10018283,673,9515,308984.5,5120133.5,NEON_D05_UNDE_DP1_20200811_L001-1_radiance,UNDE,EPSG:32616,18.236188888549805
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,5624511,378,9473,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L001-1_radiance,UNDE,EPSG:32616,18.23637580871582
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,5624511,378,9473,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L001-1_radiance,UNDE,EPSG:32616,18.23637580871582
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,5624511,378,9473,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L001-1_radiance,UNDE,EPSG:32616,18.23637580871582
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,7941957,6760,132,309132.5,5120578.5,NEON_D05_UNDE_DP1_20200811_L008-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,8138221,7399,421,309132.5,5120578.5,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,UNDE,EPSG:32616,17.26677703857422
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,8627573,7844,273,308984.5,5120133.5,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,UNDE,EPSG:32616,17.269493103027344
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,8303031,7549,231,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,8303031,7549,231,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,8303031,7549,231,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,7954663,6696,1003,309132.5,5120578.5,NEON_D05_UNDE_DP1_20200811_L010-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,8483175,7141,855,308984.5,5120133.5,NEON_D05_UNDE_DP1_20200811_L010-1_radiance,UNDE,EPSG:32616,17.155712127685547
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,8132673,6846,813,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L010-1_radiance,UNDE,EPSG:32616,17.157358169555664
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,8132673,6846,813,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L010-1_radiance,UNDE,EPSG:32616,17.157358169555664
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,8132673,6846,813,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200811_L010-1_radiance,UNDE,EPSG:32616,17.157358169555664
